neighbourhood_id,neighbourhood_name,neighbourhood_latitude,neighbourhood_longitude,total_venues,total_population,unemployment_rate,crime_rate,median_rent,label1,label2
129,Agincourt North,43.80544053403305,-79.26671238386149,12,29113,9.8,75.44,1750,Medium,Least Desirable
128,Agincourt South-Malvern West,43.7886573503734,-79.2656114435185,12,23757,9.8,157.91,1750,High,Least Desirable
20,Alderwood,43.60493715091068,-79.54161057653289,5,12054,6.1,159.52,1750,Medium,Desirable
95,Annex,43.671585252613646,-79.40400005281678,9,30526,6.7,279.01,949,Medium,Least Desirable
42,Banbury-Don Mills,43.737659107558216,-79.34972050464525,9,27695,7.2,88.62,949,Medium,Most Desirable
34,Bathurst Manor,43.76481420179362,-79.4560566326242,2,15873,7.2,126.12,1825,Low,Desirable
49,Bayview Woods-Steeles,43.796802160132,-79.38211780137767,1,13154,8.0,113.98,2087,Low,Semi Desirable
39,Bedford Park-Nortown,43.73148780254149,-79.42022612325479,4,23236,5.5,128.67,1650,Medium,Desirable
112,Beechborough-Greenbrook,43.69321629349849,-79.4794721995664,1,6577,11.4,239.31,1650,Low,Least Desirable
122,Birchcliffe-Cliffside,43.694683351441576,-79.26508925886662,0,22291,8.8,173.74,1593,Low,Least Desirable
24,Black Creek,43.76489042938726,-79.52197950468847,0,21737,12.7,249.59,1650,Low,Least Desirable
69,Blake-Jones,43.676172960341965,-79.33739413147676,3,7727,8.5,181.05,1650,Low,Desirable
108,Briar Hill-Belgravia,43.69902429499015,-79.4528696070274,4,14257,8.7,202.28,1775,Low,Desirable
41,Bridle Path-Sunnybrook-York Mills,43.73101266063294,-79.37890252696454,2,9266,8.0,175.81,1775,Low,Desirable
57,Broadview North,43.68882539700119,-79.35562930293595,2,11499,8.2,114.09,1750,Low,Desirable
30,Brookhaven-Amesbury,43.701326083160986,-79.48558862009045,1,17757,10.0,178.35,1600,Low,Least Desirable
109,Caledonia-Fairbank,43.68856846711272,-79.45521267789519,3,9955,7.2,144.55,1850,Low,Desirable
96,Casa Loma,43.68185225786885,-79.40800655491213,4,10968,6.6,150.79,1923,Low,Semi Desirable
133,Centennial Scarborough,43.78237705668571,-79.15084346589744,1,13362,7.6,119.94,1799,Low,Desirable
120,Clairlea-Birchmount,43.71359211783352,-79.28138213103038,3,26984,8.7,207.91,1695,Low,Least Desirable
33,Clanton Park,43.741975896897614,-79.44637134126691,1,16472,6.1,197.62,1787,Low,Desirable
123,Cliffcrest,43.721121716111774,-79.23553062083673,6,15935,9.7,172.59,1399,Medium,Least Desirable
92,Corso Italia-Davenport,43.67766288697114,-79.44749614287657,9,14133,7.2,218.87,2100,Medium,Semi Desirable
66,Danforth,43.68402520785754,-79.32981877904594,9,9666,6.2,388.12,1600,Medium,Least Desirable
59,Danforth East York,43.689467853790646,-79.33140285680877,3,17180,6.9,127.73,1600,Low,Desirable
47,Don Valley Village,43.78329394130451,-79.35364420467583,3,27051,9.6,134.69,1900,Low,Least Desirable
126,Dorset Park,43.75927558617118,-79.27890860962498,2,25003,9.7,156.94,1750,Low,Least Desirable
83,Dufferin Grove,43.655428247845336,-79.43734064238414,12,11785,7.5,180.3,1800,Medium,Desirable
62,East End-Danforth,43.68417396924507,-79.29935845328056,9,21381,8.2,224.02,1640,Medium,Desirable
9,Edenbridge-Humber Valley,43.67088663598491,-79.52245768184905,0,15535,6.1,98.77,1835,Low,Desirable
